Tiempo,Posicion,Velocidad
0.010000,0.998571,-0.317186
0.020000,0.993980,-0.632051
0.030000,0.986254,-0.943791
0.040000,0.975427,-1.251623
0.050000,0.961543,-1.554789
0.060000,0.944650,-1.852557
0.070000,0.924807,-2.144227
0.080000,0.902076,-2.429139
0.090000,0.876530,-2.706668
0.100000,0.848243,-2.976234
0.110000,0.817299,-3.237297
0.120000,0.783784,-3.489362
0.130000,0.747791,-3.731980
0.140000,0.709415,-3.964743
0.150000,0.668758,-4.187288
0.160000,0.625922,-4.399292
0.170000,0.581015,-4.600468
0.180000,0.534145,-4.790570
0.190000,0.485426,-4.969380
0.200000,0.434969,-5.136712
0.210000,0.382892,-5.292407
0.220000,0.329310,-5.436326
0.230000,0.274343,-5.568350
0.240000,0.218110,-5.688373
0.250000,0.160730,-5.796305
0.260000,0.102326,-5.892059
0.270000,0.043020,-5.975558
0.280000,-0.017066,-6.046723
0.290000,-0.077808,-6.105479
0.300000,-0.139082,-6.151749
0.310000,-0.200761,-6.185451
0.320000,-0.262721,-6.206503
0.330000,-0.324834,-6.214817
0.340000,-0.386972,-6.210303
0.350000,-0.449008,-6.192868
0.360000,-0.510810,-6.162421
0.370000,-0.572249,-6.118870
0.380000,-0.633193,-6.062129
0.390000,-0.693511,-5.992119
0.400000,-0.753068,-5.908775
0.410000,-0.811731,-5.812046
0.420000,-0.869367,-5.701904
0.430000,-0.925841,-5.578343
0.440000,-0.981020,-5.441393
0.450000,-1.034768,-5.291117
0.460000,-1.086954,-5.127621
0.470000,-1.137447,-4.951057
0.480000,-1.186116,-4.761630
0.490000,-1.232833,-4.559602
0.500000,-1.277475,-4.345296
0.510000,-1.319919,-4.119097
0.520000,-1.360050,-3.881461
0.530000,-1.397755,-3.632910
0.540000,-1.432927,-3.374037
0.550000,-1.465467,-3.105507
0.560000,-1.495281,-2.828052
0.570000,-1.522282,-2.542472
0.580000,-1.546395,-2.249630
0.590000,-1.567550,-1.950448
0.600000,-1.585688,-1.645900
0.610000,-1.600760,-1.337010
0.620000,-1.612728,-1.024837
0.630000,-1.621563,-0.710473
0.640000,-1.627248,-0.395031
0.650000,-1.629779,-0.079637
0.660000,-1.629160,0.234582
0.670000,-1.625408,0.546505
0.680000,-1.618551,0.855030
0.690000,-1.608629,1.159079
0.700000,-1.595690,1.457611
0.710000,-1.579794,1.749629
0.720000,-1.561010,2.034186
0.730000,-1.539418,2.310395
0.740000,-1.515105,2.577431
0.750000,-1.488165,2.834538
0.760000,-1.458701,3.081029
0.770000,-1.426823,3.316295
0.780000,-1.392644,3.539798
0.790000,-1.356285,3.751077
0.800000,-1.317870,3.949743
0.810000,-1.277526,4.135482
0.820000,-1.235384,4.308047
0.830000,-1.191576,4.467259
0.840000,-1.146236,4.612998
0.850000,-1.099500,4.745205
0.860000,-1.051503,4.863873
0.870000,-1.002380,4.969043
0.880000,-0.952265,5.060797
0.890000,-0.901293,5.139257
0.900000,-0.849596,5.204578
0.910000,-0.797304,5.256940
0.920000,-0.744546,5.296550
0.930000,-0.691448,5.323632
0.940000,-0.638135,5.338427
0.950000,-0.584729,5.341185
0.960000,-0.531348,5.332168
0.970000,-0.478109,5.311643
0.980000,-0.425127,5.279881
0.990000,-0.372511,5.237155
1.000000,-0.320371,5.183741
1.010000,-0.268813,5.119914
1.020000,-0.217938,5.045948
1.030000,-0.167848,4.962120
1.040000,-0.118639,4.868705
1.050000,-0.070407,4.765978
1.060000,-0.023243,4.654217
1.070000,0.022764,4.533702
1.080000,0.067528,4.404715
1.090000,0.110964,4.267546
1.100000,0.152993,4.122487
1.110000,0.193538,3.969840
1.120000,0.232522,3.809915
1.130000,0.269876,3.643032
1.140000,0.305531,3.469522
1.150000,0.339422,3.289727
1.160000,0.371488,3.104004
1.170000,0.401672,2.912722
1.180000,0.429919,2.716263
1.190000,0.456180,2.515024
1.200000,0.480408,2.309418
1.210000,0.502563,2.099869
1.220000,0.522605,1.886814
1.230000,0.540503,1.670705
1.240000,0.556228,1.452003
1.250000,0.569756,1.231180
1.260000,0.581068,1.008714
1.270000,0.590150,0.785095
1.280000,0.596992,0.560811
1.290000,0.601590,0.336359
1.300000,0.603944,0.112234
1.310000,0.604061,-0.111072
1.320000,0.601950,-0.333066
1.330000,0.597626,-0.553266
1.340000,0.591111,-0.771194
1.350000,0.582428,-0.986382
1.360000,0.571608,-1.198375
1.370000,0.558683,-1.406732
1.380000,0.543693,-1.611025
1.390000,0.526680,-1.810843
1.400000,0.507690,-2.005792
1.410000,0.486774,-2.195499
1.420000,0.463986,-2.379606
1.430000,0.439383,-2.557778
1.440000,0.413026,-2.729699
1.450000,0.384979,-2.895070
1.460000,0.355309,-3.053616
1.470000,0.324086,-3.205079
1.480000,0.291380,-3.349218
1.490000,0.257267,-3.485813
1.500000,0.221823,-3.614658
1.510000,0.185125,-3.735566
1.520000,0.147255,-3.848363
1.530000,0.108294,-3.952889
1.540000,0.068326,-4.048998
1.550000,0.027435,-4.136555
1.560000,-0.014293,-4.215436
1.570000,-0.056770,-4.285526
1.580000,-0.099908,-4.346721
1.590000,-0.143617,-4.398925
1.600000,-0.187808,-4.442047
1.610000,-0.232389,-4.476006
1.620000,-0.277268,-4.500729
1.630000,-0.322352,-4.516149
1.640000,-0.367549,-4.522205
1.650000,-0.412764,-4.518847
1.660000,-0.457902,-4.506031
1.670000,-0.502870,-4.483725
1.680000,-0.547572,-4.451905
1.690000,-0.591913,-4.410561
1.700000,-0.635797,-4.359695
1.710000,-0.679131,-4.299324
1.720000,-0.721817,-4.229482
1.730000,-0.763763,-4.150221
1.740000,-0.804874,-4.061615
1.750000,-0.845058,-3.963759
1.760000,-0.884221,-3.856773
1.770000,-0.922275,-3.740801
1.780000,-0.959128,-3.616019
1.790000,-0.994695,-3.482630
1.800000,-1.028890,-3.340868
1.810000,-1.061631,-3.191002
1.820000,-1.092838,-3.033330
1.830000,-1.122434,-2.868190
1.840000,-1.150347,-2.695948
1.850000,-1.176506,-2.517010
1.860000,-1.200848,-2.331813
1.870000,-1.223311,-2.140826
