tiempo,posicion,velocidad
1.0000,-0.2344,3.4170
2.0010,-0.5302,-1.2987
3.0010,0.3461,-1.6181
4.0010,0.1953,1.4238
5.0000,-0.2895,0.4498
6.0000,-0.0090,-1.0562
7.0000,0.1826,0.1266
8.0000,-0.0644,0.6049
9.0000,-0.0883,-0.3102
10.0010,0.0734,-0.2567
11.0010,0.0266,0.2892
12.0010,-0.0557,0.0480
13.0010,0.0048,-0.1973
14.0010,0.0326,0.0460
15.0010,-0.0155,0.1045
16.0010,-0.0142,-0.0685
17.0010,0.0150,-0.0384
18.0010,0.0030,0.0571
19.0000,-0.0105,0.0017
20.0000,0.0022,-0.0360
21.0000,0.0056,0.0128
22.0000,-0.0035,0.0174
23.0000,-0.0021,-0.0146
24.0000,0.0030,-0.0052
25.0000,0.0002,0.0110
26.0000,-0.0019,-0.0010
27.0000,0.0006,-0.0064
28.0000,0.0009,0.0031
29.0000,-0.0008,0.0028
30.0000,-0.0003,-0.0030
31.0000,0.0006,-0.0006
32.0000,-0.0000,0.0021
33.0000,-0.0003,-0.0004
34.0000,0.0002,-0.0011
35.0000,0.0002,0.0007
36.0000,-0.0002,0.0004
37.0000,-0.0000,-0.0006
38.0000,0.0001,-0.0000
39.0010,-0.0000,0.0004
40.0010,-0.0001,-0.0001
41.0010,0.0000,-0.0002
42.0010,0.0000,0.0001
43.0010,-0.0000,0.0001
44.0010,-0.0000,-0.0001
45.0010,0.0000,0.0000
46.0010,-0.0000,0.0001
47.0010,-0.0000,-0.0000
48.0010,0.0000,-0.0000
49.0010,0.0000,0.0000
50.0010,-0.0000,0.0000
