tiempo,posicion,velocidad
1.0000,-0.4721,3.9915
2.0010,-1.0371,-0.0901
3.0010,-0.4003,-1.9073
4.0010,-0.1722,0.2469
5.0000,-0.5505,1.0934
6.0000,-0.6561,-0.3264
7.0000,-0.4011,-0.6670
8.0000,-0.3658,0.3163
9.0000,-0.5489,0.4298
10.0010,-0.5501,-0.3009
11.0010,-0.4147,-0.2724
12.0010,-0.4336,0.2708
13.0010,-0.5356,0.1700
14.0010,-0.5054,-0.2434
15.0010,-0.4289,-0.0958
16.0010,-0.4651,0.2130
17.0010,-0.5222,0.0441
18.0010,-0.4832,-0.1847
19.0000,-0.4420,-0.0056
20.0000,-0.4814,0.1573
21.0000,-0.5100,-0.0213
22.0000,-0.4716,-0.1314
23.0000,-0.4534,0.0400
24.0000,-0.4895,0.1077
25.0000,-0.4996,-0.0530
26.0000,-0.4662,-0.0855
27.0000,-0.4629,0.0608
28.0000,-0.4929,0.0656
29.0000,-0.4909,-0.0653
30.0000,-0.4645,-0.0474
31.0000,-0.4707,0.0664
32.0000,-0.4934,0.0314
33.0000,-0.4840,-0.0653
34.0000,-0.4651,-0.0173
35.0000,-0.4768,0.0623
36.0000,-0.4920,0.0051
37.0000,-0.4788,-0.0578
38.0000,-0.4671,0.0051
39.0010,-0.4811,0.0522
40.0010,-0.4896,-0.0134
41.0010,-0.4752,-0.0458
42.0010,-0.4699,0.0201
43.0010,-0.4841,0.0390
44.0010,-0.4866,-0.0254
45.0010,-0.4730,-0.0318
46.0010,-0.4730,0.0290
47.0010,-0.4856,0.0247
48.0010,-0.4835,-0.0313
49.0010,-0.4720,-0.0176
50.0010,-0.4760,0.0323
