Tiempo,Posicion,Velocidad
0.010000,0.998513,-0.297157
0.020000,0.994064,-0.592240
0.030000,0.986677,-0.884669
0.040000,0.976381,-1.173875
0.050000,0.963212,-1.459297
0.060000,0.947210,-1.740385
0.070000,0.928420,-2.016600
0.080000,0.906896,-2.287414
0.090000,0.882692,-2.552315
0.100000,0.855871,-2.810804
0.110000,0.826499,-3.062397
0.120000,0.794647,-3.306626
0.130000,0.760392,-3.543042
0.140000,0.723814,-3.771212
0.150000,0.684997,-3.990721
0.160000,0.644030,-4.201175
0.170000,0.601005,-4.402199
0.180000,0.556018,-4.593440
0.190000,0.509170,-4.774565
0.200000,0.460562,-4.945263
0.210000,0.410300,-5.105245
0.220000,0.358494,-5.254246
0.230000,0.305253,-5.392023
0.240000,0.250691,-5.518358
0.250000,0.194924,-5.633055
0.260000,0.138070,-5.735944
0.270000,0.080245,-5.826879
0.280000,0.021572,-5.905737
0.290000,-0.037829,-5.972422
0.300000,-0.097835,-6.026861
0.310000,-0.158325,-6.069007
0.320000,-0.219175,-6.098838
0.330000,-0.280261,-6.116354
0.340000,-0.341461,-6.121583
0.350000,-0.402652,-6.114575
0.360000,-0.463712,-6.095405
0.370000,-0.524519,-6.064173
0.380000,-0.584955,-6.021000
0.390000,-0.644900,-5.966033
0.400000,-0.704237,-5.899440
0.410000,-0.762851,-5.821411
0.420000,-0.820628,-5.732160
0.430000,-0.877457,-5.631920
0.440000,-0.933231,-5.520946
0.450000,-0.987841,-5.399513
0.460000,-1.041187,-5.267916
0.470000,-1.093167,-5.126467
0.480000,-1.143685,-4.975498
0.490000,-1.192646,-4.815357
0.500000,-1.239962,-4.646410
0.510000,-1.285546,-4.469038
0.520000,-1.329316,-4.283635
0.530000,-1.371194,-4.090613
0.540000,-1.411105,-3.890395
0.550000,-1.448979,-3.683415
0.560000,-1.484752,-3.470120
0.570000,-1.518362,-3.250967
0.580000,-1.549753,-3.026422
0.590000,-1.578874,-2.796961
0.600000,-1.605678,-2.563065
0.610000,-1.630122,-2.325223
0.620000,-1.652171,-2.083929
0.630000,-1.671791,-1.839682
0.640000,-1.688956,-1.592984
0.650000,-1.703644,-1.344338
0.660000,-1.715838,-1.094252
0.670000,-1.725526,-0.843229
0.680000,-1.732701,-0.591777
0.690000,-1.737362,-0.340399
0.700000,-1.739511,-0.089595
0.710000,-1.739157,0.160137
0.720000,-1.736314,0.408303
0.730000,-1.730998,0.654418
0.740000,-1.723234,0.897999
0.750000,-1.713048,1.138575
0.760000,-1.700474,1.375679
0.770000,-1.685548,1.608857
0.780000,-1.668311,1.837663
0.790000,-1.648810,2.061662
0.800000,-1.627095,2.280432
0.810000,-1.603221,2.493561
0.820000,-1.577244,2.700654
0.830000,-1.549229,2.901327
0.840000,-1.519240,3.095212
0.850000,-1.487348,3.281956
0.860000,-1.453626,3.461222
