Tiempo,Posicion,Velocidad
0.010000,0.997471,-0.505027
0.020000,0.989922,-1.003397
0.030000,0.977439,-1.491150
0.040000,0.960146,-1.964616
0.050000,0.938205,-2.420510
0.060000,0.911804,-2.856019
0.070000,0.881160,-3.268853
0.080000,0.846508,-3.657279
0.090000,0.808100,-4.020126
0.100000,0.766193,-4.356767
0.110000,0.721052,-4.667079
0.120000,0.672939,-4.951389
0.130000,0.622109,-5.210406
0.140000,0.568811,-5.445145
0.150000,0.513283,-5.656845
0.160000,0.455747,-5.846889
0.170000,0.396412,-6.016727
0.180000,0.335475,-6.167795
0.190000,0.273114,-6.301453
0.200000,0.209500,-6.418917
0.210000,0.144787,-6.521209
0.220000,0.079123,-6.609102
0.230000,0.012651,-6.683086
0.240000,-0.054493,-6.743334
0.250000,-0.122169,-6.789672
0.260000,-0.190238,-6.821568
0.270000,-0.258550,-6.838121
0.280000,-0.326945,-6.838059
0.290000,-0.395250,-6.819754
0.300000,-0.463273,-6.781246
0.310000,-0.530800,-6.720277
0.320000,-0.597595,-6.634346
0.330000,-0.663395,-6.520782
0.340000,-0.727909,-6.376827
0.350000,-0.790821,-6.199747
0.360000,-0.851785,-5.986954
0.370000,-0.910433,-5.736147
0.380000,-0.966375,-5.445459
0.390000,-1.019205,-5.113614
0.400000,-1.068508,-4.740074
0.410000,-1.113869,-4.325179
0.420000,-1.154879,-3.870253
0.430000,-1.191148,-3.377686
0.440000,-1.222318,-2.850959
0.450000,-1.248069,-2.294619
0.460000,-1.268130,-1.714197
0.470000,-1.282294,-1.116070
0.480000,-1.290416,-0.507264
0.490000,-1.292428,0.104781
0.500000,-1.288335,0.712475
0.510000,-1.278218,1.308346
0.520000,-1.262231,1.885313
0.530000,-1.240596,2.436921
0.540000,-1.213596,2.957536
0.550000,-1.181565,3.442497
0.560000,-1.144877,3.888203
0.570000,-1.103940,4.292144
0.580000,-1.059178,4.652877
0.590000,-1.011028,4.969957
0.600000,-0.959923,5.243833
0.610000,-0.906291,5.475715
0.620000,-0.850543,5.667429
0.630000,-0.793069,5.821268
0.640000,-0.734235,5.939845
0.650000,-0.674380,6.025962
0.660000,-0.613815,6.082488
0.670000,-0.552820,6.112258
0.680000,-0.491650,6.117989
0.690000,-0.430532,6.102221
0.700000,-0.369669,6.067264
0.710000,-0.309243,6.015170
0.720000,-0.249417,5.947716
0.730000,-0.190335,5.866397
