Tiempo,Posicion,Velocidad
0.010000,0.998413,-0.317069
0.020000,0.993667,-0.631735
0.030000,0.985789,-0.943199
0.040000,0.974816,-1.250681
0.050000,0.960791,-1.553425
0.060000,0.943766,-1.850703
0.070000,0.923798,-2.141823
0.080000,0.900952,-2.426126
0.090000,0.875300,-2.702996
0.100000,0.846919,-2.971856
0.110000,0.815891,-3.232174
0.120000,0.782305,-3.483460
0.130000,0.746254,-3.725271
0.140000,0.707833,-3.957206
0.150000,0.667144,-4.178905
0.160000,0.624290,-4.390052
0.170000,0.579379,-4.590366
0.180000,0.532520,-4.779603
0.190000,0.483824,-4.957553
0.200000,0.433407,-5.124032
0.210000,0.381382,-5.278883
0.220000,0.327868,-5.421973
0.230000,0.272983,-5.553185
0.240000,0.216844,-5.672416
0.250000,0.159574,-5.779578
0.260000,0.101293,-5.874586
0.270000,0.042123,-5.957365
0.280000,-0.017813,-6.027840
0.290000,-0.078392,-6.085937
0.300000,-0.139490,-6.131579
0.310000,-0.200982,-6.164690
0.320000,-0.262742,-6.185187
0.330000,-0.324643,-6.192987
0.340000,-0.386559,-6.188002
0.350000,-0.448360,-6.170143
0.360000,-0.509919,-6.139322
0.370000,-0.571103,-6.095451
0.380000,-0.631784,-6.038449
0.390000,-0.691828,-5.968243
0.400000,-0.751105,-5.884772
0.410000,-0.809479,-5.787992
0.420000,-0.866820,-5.677880
0.430000,-0.922993,-5.554439
0.440000,-0.977864,-5.417704
0.450000,-1.031303,-5.267745
0.460000,-1.083176,-5.104675
0.470000,-1.133353,-4.928655
0.480000,-1.181706,-4.739896
0.490000,-1.228109,-4.538666
0.500000,-1.272439,-4.325294
0.510000,-1.314576,-4.100171
0.520000,-1.354405,-3.863756
0.530000,-1.391815,-3.616577
0.540000,-1.426702,-3.359228
0.550000,-1.458968,-3.092376
0.560000,-1.488521,-2.816751
0.570000,-1.515277,-2.533152
0.580000,-1.539160,-2.242438
0.590000,-1.560105,-1.945527
0.600000,-1.578053,-1.643385
0.610000,-1.592958,-1.337026
0.620000,-1.604783,-1.027500
0.630000,-1.613501,-0.715888
0.640000,-1.619098,-0.403287
0.650000,-1.621567,-0.090810
0.660000,-1.620918,0.220433
0.670000,-1.617167,0.529338
0.680000,-1.610343,0.834819
0.690000,-1.600485,1.135817
0.700000,-1.587645,1.431309
0.710000,-1.571881,1.720317
0.720000,-1.553263,2.001911
0.730000,-1.531870,2.275220
0.740000,-1.507789,2.539437
0.750000,-1.481114,2.793820
0.760000,-1.451947,3.037698
0.770000,-1.420397,3.270472
0.780000,-1.386577,3.491617
0.790000,-1.350605,3.700681
0.800000,-1.312605,3.897285
0.810000,-1.272702,4.081119
0.820000,-1.231026,4.251944
0.830000,-1.187707,4.409583
0.840000,-1.142878,4.553920
0.850000,-1.096673,4.684896
0.860000,-1.049225,4.802504
0.870000,-1.000668,4.906784
0.880000,-0.951133,4.997817
0.890000,-0.900755,5.075723
0.900000,-0.849662,5.140651
0.910000,-0.797985,5.192780
0.920000,-0.745849,5.232313
0.930000,-0.693380,5.259469
0.940000,-0.640700,5.274485
0.950000,-0.587929,5.277609
0.960000,-0.535186,5.269097
0.970000,-0.482585,5.249213
0.980000,-0.430239,5.218224
0.990000,-0.378257,5.176402
1.000000,-0.326746,5.124019
1.010000,-0.275811,5.061347
1.020000,-0.225553,4.988660
1.030000,-0.176070,4.906232
1.040000,-0.127460,4.814336
1.050000,-0.079814,4.713247
1.060000,-0.033224,4.603242
1.070000,0.012222,4.484599
1.080000,0.056440,4.357602
1.090000,0.099347,4.222537
1.100000,0.140865,4.079697
1.110000,0.180916,3.929384
1.120000,0.219428,3.771905
1.130000,0.256331,3.607579
1.140000,0.291558,3.436734
1.150000,0.325045,3.259712
1.160000,0.356733,3.076865
1.170000,0.386564,2.888558
1.180000,0.414487,2.695172
1.190000,0.440452,2.497097
1.200000,0.464415,2.294739
1.210000,0.486334,2.088518
1.220000,0.506174,1.878865
1.230000,0.523902,1.666222
1.240000,0.539490,1.451043
1.250000,0.552915,1.233791
1.260000,0.564160,1.014936
1.270000,0.573210,0.794955
1.280000,0.580057,0.574329
1.290000,0.584696,0.353543
1.300000,0.587129,0.133081
1.310000,0.587361,-0.086575
1.320000,0.585402,-0.304944
1.330000,0.581268,-0.521554
1.340000,0.574978,-0.735937
1.350000,0.566558,-0.947639
1.360000,0.556036,-1.156212
1.370000,0.543446,-1.361226
1.380000,0.528825,-1.562261
1.390000,0.512215,-1.758917
1.400000,0.493662,-1.950808
1.410000,0.473216,-2.137567
1.420000,0.450929,-2.318845
1.430000,0.426858,-2.494311
1.440000,0.401063,-2.663655
1.450000,0.373607,-2.826586
1.460000,0.344554,-2.982830
1.470000,0.313973,-3.132134
